1263201035_happy_4942|Өңірдегі қауіпсіздікті қамтамасыз ету мәселесі арнайы тақырып ретінде талқыланды.
1263201035_happy_49613|Соңғы уақытта елде болып жатқан оқиғалар әлеуметтік саясатты түбегейлі қайта қарау қажетін көрсетті.
1263201035_happy_49618|Мүмкіндігі шектеулі жан бесінші қабаттан қабырғаға сүйеніп түссе, жоғарыға қарай еңбектеп шығады.
1263201035_happy_49619|Сондай-ақ, міне, мынадай сөмке таратылды барлығына.
1263201035_happy_49626|Еркін күреспен айналысқың келе ме?
1263201035_happy_49648|Олардың күтіміне қыруар қаржымен қоса, уақыт та керек.
1263201035_happy_49649|Бұл елді мекен Павлодардан 600 шақырымға таяу.
1263201035_happy_49650|Оған артында келе жатқан 8 көлік соғылды.
1263201035_happy_49663|Ол кездердің ойындары да ұл–қыз деп бөлмейтін.
1263201035_happy_4967|“Дя!”деп бұған кішкентай қолдарын созып қояды.
1263201035_happy_49678|Ол өз жұмысына өте байсалды қарайды.
1263201035_happy_49686|Айта кетсек, жыл басынан бері Жерорта теңізінде 600–дей мигрант қаза тапқан.
1263201035_happy_49691|Қалай айтқан жағдайда да шаянтәрізділердің пайдалы жағы басым.
1263201035_happy_49693|Сөйтіп, жолдастарының бәрінен құтылған арамза Түлкі адамның ақылынан құтыла алмапты..
1263201035_happy_49694|Қазақстан — тәуелсіз мемлекет.
1263201035_happy_49703|Ол қандай жағдайда, қалай, қашан салынғанынан бастап, объектіде болған оқиғаға, тіпті болашақтағы жағдайы қандай екенін болжайсың.
1263201035_happy_49705|Он жақтағы ұзын столда екі маршал қатар отыр.
1263201035_happy_49706|Күн барында құттай да болса қатын–баласына жақындай түскісі кеп, қалаға туралап келе жатқан бетінен кілт бұрылды.
1263201035_happy_49708|Осы альбом олардың досы Рой Дэннингке арналды.
1263201035_happy_49717|Осындай фосфаттар сүтқоректілер қаңқасына беріктік қасиет береді.
1263201035_happy_49727|Ақыры Орманбет бидің жаңа отауын табады.
1263201035_happy_49729|Бірақ коронавирус бәсеңсіген жоқ.
1263201035_happy_4973|Бұл олардың қандай сырқатқа шалдыққаны, нендей ем қабылдағаны, медицналық сараптама қорытындылары жайлы алдын ала біліп отыруға мүмкіндік берді.
1263201035_happy_49736|Мен кедергі болмаймын ба?
1263201035_happy_49743|Құрамында қоспалар өте көп болуына байланысты осылай аталған.
1263201035_happy_49752|Тфу, – деп Мейрам алғашқы олжасын сұқ қолымен көрсетіп.
1263201035_happy_49762|Ассамблея отырысына қатысқан әлем парламентшілері бейбітшілік пен құқықтық тәртіп қана тұрақтылық кепілі болатынын еске салды.
1263201035_happy_49763|Мешіт қабырғасын әшекейлеуге жаңа шешім іздей бастады.
1263201035_happy_49766|«Петропавл қаласының экономика және бюджеттік жоспарлау бөлімі» мемлекеттік мекемесінің бастығы «Петропавл қаласының 2007 жылға арналған бюджеті туралы» қалалық мәслихат шешімінің жобасын дайындасын.
1263201035_happy_49779|Қалалық мәслихатқа Петропавл қаласының 2007 жылға арналған құмар ойын бизнесі ставкалары бойынша сұратымды жіберіңіз.
1263201035_happy_49788|Пәтер жалдап, буылдық сатып, барлық қазақ–орыс бір шала байып қалады.
1263201035_happy_49799|Күйеуіне қалай дұрыс өмір сүру керектігін көрсетеді.
1263201035_happy_49800|Осы орайда Болашақ түлегі Қанат Әуесбай алғашқылардың бірі болып «Батыс көрген.
1263201035_happy_49803|Жаппар шын шеберді шыңдайтын өзгенің көзі екенін сол әкесінің ертеден қара кешке міз бақпай қараған мір жанарынан ұқты.
1263201035_happy_49806|Енді жинақтаушылар, басылымның тұңғыш шығарылымдарын Ресей мұрағаттарынан сұратуды көздеп отыр.
1263201035_happy_49830|Бірнеше кісілігі де, тіпті бір қора тұтқын жататыны да бар.
1263201035_happy_49850|Соңында «Үздік бастауыш партия ұйымдары» республикалық байқауының жеңімпаздары марапатталды.
1263201035_happy_49861|Қоңырау стегі әдетте үздіксіз жады аймағы ретінде іске асырылады.
1263201035_happy_49867|Тіпті, Африкадағы мемлекеттік төңкерістерге де қатысым бар ма деп қалам.
1263201035_happy_49886|Мұндағы аурудың жоғары деңгейіне қарамастан, қайтыс болғандар саны анау айтқандай көп емес – 2 009 дерек тіркелді.
1263201035_happy_49890|Еске түсіреді де, тағы да толқып келген құсамен басады.
1263201035_happy_49897|Удэхелердің бәрі бізді шығарысып салды.
1263201035_happy_4990|Өтінемін, мына қонақүйге қалай барсам болатынын айтып жіберіңізші.
1263201035_happy_49914|Ал 2013 жылға дейін ол бас санитар Жандарбек Бекшиннің орынбасары болған.
1263201035_happy_4992|Мемлекеттік баж салығын төлейтін касса қай жерде?
1263201035_happy_49921|Сізді заңды некеңізбен құттықтауға рұқсат етіңіз!
1263201035_happy_4993|Одан темен жазық мандайын, күлімсіреген қара кезін, мұрнын, аузын, тағы–тағыларын көрді.
1263201035_happy_49936|Қазір заман басқа, заң басқа.
1263201035_happy_49939|Дұрысында жылға толу мерзіміне байланысты шараны жылы деп, не жылдық асы деп айту керек.
1263201035_happy_49943|Қаратауда ертеден қалған жартастағы суреттерді зерттеу, тарихи мазмұнын жан–жақты ашу біршама киындық келтіреді.
1263201035_happy_49951|Маған Атаңның үйінде қаласың ба? деді.
1263201035_happy_49953|– Ол мүләйімсіп, аспанға қарап көзін сүзіп, мейірбан әкесіндей екеуіне елжірей күле қарады.
1263201035_happy_49963|Аймақтағы ахуал жіті бақылауда болады.
1263201035_happy_4997|Олесяның жақындары оның денесін Алматыдан Қостанайға жеткізу үшін қаражат жинауда.
1263201035_happy_49971|Еске сала кетсек, бұған дейін америкалық БАҚ беттерінде Қазақстандағы ең бай әйел адамның есімі аталған еді.
1263201035_happy_49976|Алданғанын білген саудагер Қожанасырға келіп:– Оңбаған, ақшамды бер, ұятқа қалдырдың, – деп алай–дүлей ашуланады.
1263201035_happy_49988|Басқа амалы құрыған байғыз еріксіз көніп, қаршығаның соңынан ілесіпті.
1263201035_happy_49992|Компания жедел түрде үзілді-кесілді реформалану қажет.
1263201035_happy_50001|Яғни, біз “идеалдарды” өзіміз ойлап тапқанымыз ғой.
1263201035_happy_50004|Әй, кещелер, қай кезде қалай сөйлеуді әлі білмейсіңдер, ә!
1263201035_happy_50009|Бұл маған арналған екен!
1263201035_happy_50010|Жақын жерде ғаламтор кафесі бар ма?
1263201035_happy_50018|Үш тұғырлы тіл бағдарламасы–бұл жоба көптеген жастардың мүмкіндігін ашып, әлемдік деңгейде білім алуға көмектесуде.
1263201035_happy_5002|Еліміздегі эпидемиологиялық ахуал жылыжай шаруашылығымен айналысатын диқандарды да дағдартып тастады.
1263201035_happy_50024|Орал губерниясы революциялық комитеті жанындағы үгітшілер курсында оқыды.
1263201035_happy_50034|Оңтүстік өңірлік аэроұтқыр жедел құтқару жасағының мамандары оқиға орнына дер кезінде жеткен.
1263201035_happy_50037|Бұған дейін жастарымыз мұндай нәтижеге жетпеген еді.
1263201035_happy_5004|Иесіз қыстаудың ішіне кірген етікші пештің үстіне шығып, қобдиын басына төсеп жата кетеді.
1263201035_happy_50043|Оның да тұспалдап айтып отырғаны осы жазушы болмасын.
1263201035_happy_50044|Естеріңізге сала кетейік, өткен тәулікте Мақтаарал ауданында екі жазатайым оқиға болы, кәмелетке толмаған екі бала көз жұмды.
1263201035_happy_50052|– Бұл барып тұрған ұятсыздық қой!
1263201035_happy_50064|– Олай дейтін себебім, өзіңізді–өзіңіз қызғыштай қорып, мадемуазель Дангларға үйленуге келгенде қарысып отырып аласыз.
1263201035_happy_50065|Жігіт середен түсін, қыздың жанына келді.
1263201035_happy_50074|Тәртіп бұзатындар болып тұра ма?
1263201035_happy_50079|Оған да тоқтала кетелік... Материалдың толық нұсқасын Алаш айнасынан оқи аласыздар...
1263201035_happy_5008|Солардың ішінде жалпы ұлттық киноға қатысты ғылыми анықтама берген тұшымды ой айтқан ғалым Молдияр Ергебеков.
1263201035_happy_50088|Жақында энергетика министрі Қанат Бозымбаевтың қызметінен кететіні жайлы қауесет тараған болатын.
1263201035_happy_50094|Кіжініп, дауыс көтеру қарт кісіге жараспайды.
1263201035_happy_50113|Алматыға дейін пойыз неше сағат жүреді?
1263201035_happy_50121|Ананың жанарынан аққан мақтаныш жас өмірде тартқан барлық азабын жуып–шайып кеткендей еді.
1263201035_happy_50124|Соған байланысты, соңғы үш айда хабарландырулар саны төмендепті.
1263201035_happy_50134|Амалым бар ма, Қос қақпанды арқалапЕлді қаңғыдым.
1263201035_happy_50150|Нақты ұсыныстар дайындап, оны Президенттің Әкімшілігіне, басқа мемлекеттік органдарға береді деп жоспарлап отырмыз.
1263201035_happy_50173|Біз халықаралық деңгейдегі құқық қорғау, заң саласындағы жетістіктеріміздің барлығына осы жеті жылда жеттік.
1263201035_happy_50181|Олардың өте жақын туыстығының жақында жүргізілген ДНК зерттеуі де көрсетіп берді.
1263201035_happy_50185|Ол менің әпкем емес пе?!
1263201035_happy_50191|Көркем суретте олардың ежелгі және түпнұсқалығын растайтындай.
1263201035_happy_50193|Дәрмен сықылды өзімізде де кісі бар.
1263201035_happy_50197|Біз жалғыз бір – екі көрші болсақ, тағы бір не.
1263201035_happy_50202|Не деп кетіп барады?» – деді.
1263201035_happy_50207|Тіпті, осының ақыры болмайтындай көрінді.
1263201035_happy_50218|Бірақ мен білемін: ол қызды жазатын ала тоқты.
1263201035_happy_50219|Мемлекет басшысы пандемияға қарсы еліміздегі күрес жұмыстарын үйлестіретін Орталықтың жұмысымен танысты.
1263201035_happy_50222|Ұлы Отан соғысына қатысушылар тегін билет ала алады.
1263201035_happy_50223|Мақтанып көрсетуге тұрарлық жерлеріміз жоқ емес бар ғой.
1263201035_happy_50224|Бізде жалғыз әскери фельдшер Киреев шал мен санитарка Вера ғана бар еді.
1263201035_happy_50225|Және де олардың халық үшін ешбір қабырғасы қайыспайтынын еске алды.
1263201035_happy_50234|Ол да етті турап жеп отыр, мен де турап жеп отырмын.
1263201035_happy_50239|Тауарларды кедендік рәсіммен орналастырудың шарттарын сақтауды растау міндеті
1263201035_happy_50247|Біз бүгін уақытты керемет өткіздік!
1263201035_happy_50258|Енді ол Нина Андреева мен Ырысбек Сәрсеновтың ортасында арбада мөлиіп отырды.
1263201035_happy_5027|Бастапқыда талабы таудай 30 бүлдіршіннің басын қосып, шәкірт тәрбиелеу жұмысын бастаған Қарақат бес жыл ішінде айтулы табысқа жетіп үлгеріпті.
1263201035_happy_50271|Бірақ режиссёр: «Батырдың барлығы алып денелі болуы міндетті емес, ержүрек тұлғаның келбетін көрсету үшін актёрдің ішкі болмысы мен өткір мінезі болу керек», — деп шешкен.
1263201035_happy_50273|Қашан паспортымды қайта алуыма болады?
1263201035_happy_50279|Атлант мұхитының арғы жағы мен бергі жағындағы елдерде тұратын бай мен кедейлердің арасындағы айырмашылық жер мен көктей.
1263201035_happy_50286|Қатесі болса қатты айтқанға солдат ешқашан да ренжімейді.
1263201035_happy_50293|Сол Бүкіләлемдік Желілер Патшалығы деп аталатын патшалықтың билеушісі Интернет патша өте ақылды, білімді, жан–жақты болыпты.
1263201035_happy_50295|Оларды күйзеліске түсіріп отырған күнкөрістің қиындығы ғана емес, қоғамымызда еркектерге деген белгілі бір көзқарастың жоқтығы.
1263201035_happy_50297|Ал өзімен ЖСН мен жеке куәлігі болмаса, хаттама жүргізуші куәлігі нөмірімен толтырылады.
1263201035_happy_50299|Операцияның нәтижесі әрқашан жаңа қатынас болады.
1263201035_happy_50304|Ол өлеңдері өзімен бірге өрлеп биік шыңдарға жетелеуде.
1263201035_happy_50306|Сондықтан олардан бұл жайында тұшымды жауап ала алмадық.
1263201035_happy_50307|Сол қараған қалпы әлі жатыр.
1263201035_happy_50311|– Көріп тұрмын, – деді Санчо.
1263201035_happy_50316|Со жаққа бұрылып ем, су ішіндегі айқасты көрдім.
1263201035_happy_50320|Алаш АрыстарыАлашым деп аласұрған, Ұлдары бар қазақта дара туған.
1263201035_happy_5035|Бүгін, 29 сәуір күні таңғы сағат 08:00–де Алматыдағы тергеу изоляторында тергеуге қамалған Қибаев Бекбол Мұхамедұлы қайтыс болды.
1263201035_happy_50365|– Жиеніңнен хат алып тұрасың ба, осы?– деген сұрақтың аузынан қалай шыққанын өзі де аңғармады.
1263201035_happy_50369|Оның көзінше көп жайлар айтылды–ау?!
1263201035_happy_5037|Олар Еуропа араларына қарағанда омарталарын жиі тастап кетеді.
1263201035_happy_50371|Былайырақ шыққан соң әйелдердің бірі:− Құдай–ау, не боп біттік өзі, түйіліп кеп сұйылып қалдық па, – деген.
1263201035_happy_50373|Бұл орайда азаматты әскерге қабылдамаудың бір ғана себебі оның денсаулық жағдайына байланысты болмақ.
1263201035_happy_50379|Кешіріңіз, сіздің ұлтыңыз кім?
1263201035_happy_50384|Отандық танымал әнші Мөлдір Әуелбекова соңғы кездері оқырмандарына барынша ашылып, жеке өмірінің құпияларымен бөлісе бастаған.
1263201035_happy_50395|Сол енді келді.
1263201035_happy_50405|Гүл жапырағына қарағанда көгілдір көзді қыздың келбеті елестейтін.
1263201035_happy_5041|Сондай–ақ зағип жандарға арналған аппарат та сұранысқа ие болып шықты.
1263201035_happy_5042|Британияның премьер–министр болған ағылшынның мемлекеттік қайраткері Генри Джон Темпл Палмерстонның айтқаны еске түседі.
1263201035_happy_50425|– Соқпақпен жүріп отырып, орманнан шықсам, алдыңнан батпақ кездеседі, одан өтсең – өзен.
1263201035_happy_50426|Оны гайканың немесе болттың басы мен біріктіретін тетік бөлшектің арасына қыстырады.
1263201035_happy_50436|Бұл табыс бермейтін кәсіпкерлік.
1263201035_happy_50440|Оған жеткен соң «момын сұм», «ақылды сұм», «көнгіш сұм» деген жақсы атқа құштар болар жайым жоқ.
1263201035_happy_50443|Ал отбасылық табысы елу мыңнан сәл ғана асады.
1263201035_happy_50447|Санаулы бөлмелер пән кабинеттері ретінде ыңғайластырылған.
1263201035_happy_50459|Олар оқуын аяқтап, жұмысқа тұрып, сол қызметте белгілі бір жетістікке жетіп барып қана жанұя құруға ниеттенеді.
1263201035_happy_50472|Сәбит табақтан қолын тартып алып, менің бетіме қарады.
1263201035_happy_50474|Ханның баласы тезекті жылдам тұтатып жаға бастайды.
1263201035_happy_50480|Қалай оларға көмектессе болады деп ойладым.
1263201035_happy_50481|Мұның күземді ерте алғаны да осы көші–қон есебі болды!– деп дағдарып қап, Бөжейге қарап: – Әлде сен білдің бе?
1263201035_happy_50488|Міне, осының өзі – Мәңгілік елдің шаңырағы болып табылды.
1263201035_happy_50511|Қатесі болса қатты айтқанға солдат ешқашан да ренжімейді.
1263201035_happy_50515|Бір кездері саяси мүддемен ауысқан латын әліпбиін бүнде саналы түрде, сауатты түрде қабыл алып, енгізіп отырмыз.
1263201035_happy_50519|Қыз орнынан тұрып, төріне алаша төсеп жігітті қарсы алады.
1263201035_happy_5052|Бұл тақырыпты зерттей келе, жұмыстың не себепті жүргізілмегенін бақылауға алдық.
1263201035_happy_50521|Ең алдымен, Қалекеңнің қоғам дертін кәнігі тамыршыдай тап баса білгендігінде.
1263201035_happy_50533|Арқасын тауға тіреп тұрған ақ орданың есігі түрулі еді.
1263201035_happy_50556|Кейбір жағдайда үй жануарын алып келіп, балаға оны қарауын сұрағанда мәселе шешілуі мүмкін.
1263201035_happy_50558|Вагонды теңейтін мен білетін қора жоқ.
1263201035_happy_5056|Ішкі істер министрлігі жүргізуші куәлігінің және көлік құралын тіркеу туралы куәліктің жаңа үлгілерін енгізуде.
1263201035_happy_50568|Басқалар сияқты виртуалда басқа, реалды өмірде басқа болып шыққан жоқ.
1263201035_happy_5057|Қазақ интеллигенциясының қайнаған шығармашылық өмірі суреттеледі.
1263201035_happy_50573|Қазақстанда менен ұзын адам бар ма, жоқ па ол жағын білмеймін.
1263201035_happy_50582|Бала шүйке жүндей жеп–жеңіл екен.
1263201035_happy_50589|Суармалы егістік жерлерде жер асты сулары алмағайып терендіктен төмен орналасуы керек.
1263201035_happy_5059|Кіші жүз қазақтарының көтерілуіне патша өкіметінің қазақтарды ішкі жаққа, Жайық сыртына өткізбей, оған тыйым салуы басты себептердің бірі болды.
1263201035_happy_50590|Бізде таланттар өте көп.
1263201035_happy_50595|Ол баласы да Ізгі Арман мүйісінің маңында теңізде қаза болғанда, табиғат заңына қарсы тағы төртінші ұл тапты.
1263201035_happy_50597|Екі клуб кездесетін уақытта адамдар тобы екіге бөлінеді.
1263201035_happy_50601|Қазіргі таңда екі жүз мыңнан аса жұмыс беруші өзінің жұмыскерлеріне.
1263201035_happy_50605|Гидроэнергетика энергетиканың басқа түрлерімен салыстырғанда қоршаған ортаны аз ластайды.
1263201035_happy_50606|Осы жұмыс орнында Алан Манчестерлік Компьютерлерінің жарыққа шығуына өз үлесін қосты.
1263201035_happy_50612|Бір жағынан, қалалық мұғалімдермен салыстырғанда бізде оқушылар саны аз.
1263201035_happy_50619|Дерсуға қарап едім, ол еңкейіп, қараңғы жаққа барынша үңіле қарап, сыбдырдың не екенін білгісі келіп отыр екен.
1263201035_happy_50626|Отызға жуық аудармалары мен сын мақалалары әр түрлі басылымдарда жарық көрді.
1263201035_happy_5063|Жак Ма бастауыш және орта мектепке қабылдану емтихандарынан неше мәрте құлағанымен қатар университетке қабылдану үшін 3 мәрте емтихан тапсырыпты.
1263201035_happy_50646|«Мынадай қайын ағасы, анандай қалыңдығы бар жігіттің не арманы бар?» дегендей, әнтек мақтаныш кірді.
1263201035_happy_50657|Ол келіншегін ел алдына өте сирек шығарады.
1263201035_happy_50665|Жергілікті билік өкілдерінің ақпараты бойынша, Жамбыл облысында ардагерлерге 150 мыңнан төленеді.
1263201035_happy_50670|Күннің жарқырап, қыздырғаны сонша, қыз алаулаған бетін салқындату үшін әлденеше рет суға сүңгуіне тура келді.
1263201035_happy_50677|Ол плащын да кимей кетіпті.
1263201035_happy_50680|Несіне ауырсын, Оле–Лукойе еш жамандық ойламайды, оған тек балалардың тынышталып, төсекке жатулары қажет.
1263201035_happy_50693|Осыншама аумақ жыл он екі ай әуе мен жерден бақыланады.
1263201035_happy_50694|Әйтпегенде Үлебай есімі бүгінгі ұрпағымен қайтадан табыса алар ма еді?
1263201035_happy_50696|Насрулла ат–Тарази өзінің мағыналы өмірінде шәкірттер де тәрбиелеп үлгерді.
1263201035_happy_5070|Солардың ішінде жалпы ұлттық киноға қатысты ғылыми анықтама берген тұшымды ой айтқан ғалым Молдияр Ергебеков.
1263201035_happy_50711|Таныстарының айтуынша, Олеся Суспицина жүрек жұтқан қыз болған.
1263201035_happy_50712|Нәтижесінде ер адам сараптама өткізуге жіберіліп, сынама оң нәтиже көрсеткен.
1263201035_happy_50728|Осы қорада үш қысыр бие сауғызып отырған.
1263201035_happy_50759|Бірде, мен көзімді ашып, оянған кезде әкемнің менің қасымда үстелде отырып, жылағанын көрдім.
1263201035_happy_50763|Осынша қайғы, Осынша жүдеп... Өзіңнен, Пүліш, өзіңнен!..
1263201035_happy_50764|Жолдың қалыңдығы, тығыздығы, ұзындығы, ені.... жобалық– сантиметреталық құжатына сай ма, жоқ па?
1263201035_happy_50767|Жүргізушілердің мұнша шыдамсыздық танытатын жөні де бар.
1263201035_happy_50771|Арада қанша уақыт өткені белгісіз, бір мезгілде көзін ашып алса, айналасы самаладай жап–жарық.
1263201035_happy_50776|Біздің елде көлік алғандардың көшін Түркістан облысы мен Шымкент қаласы бастап тұр.
1263201035_happy_50778|Шырақ, қай рудан боласың деп, әуелі менің руымды сұрап алды.
1263201035_happy_50781|Әрбір мемлекет сайлауға азаматтардың басым көпшілігінің қатысуына жағдай туғызады.
1263201035_happy_50785|Қазақстанда мұнай кәсіпшіліктері мен көмір өнеркәсібінің дамуына да ықпал жасады.
1263201035_happy_5079|Оның іскерлік барысында орнатқан темірдей мықты саясатының арқасында факультет үнемі биіктерден көрініп, қазіргі таңда да сол қарқынын жоғалтқан емес.
1263201035_happy_50794|Ал сіз бұған не дейсіз?–деді бірі.
1263201035_happy_50802|Ағасының айтқан сөзін кілт етпей орындап жүреді.
1263201035_happy_50808|Хан елді жинап алып, қыздың шатырының алдынан түгел өткізеді.
1263201035_happy_50822|Әскерилендірілген қарулы шаруалар қазақ ауылдарына шабуыл жасаумен айналысты.
1263201035_happy_50828|Кемпірдің дәу балалары үйінен шығып қарап тұр екен.
1263201035_happy_50830|Сол себепті президентіміз Қасым–Жомарт Тоқаевтың тілге реформа жасау қажеттігі туралы ойын толық құптаймыз.
1263201035_happy_50848|Тергеу жұмыстары Қылмыстық кодекстің 120 бабы, үшінші бөлігі бойынша жүруде.
1263201035_happy_50849|«Кісі қамайтындары осы шығар?»–деп ойлады ол.
1263201035_happy_50851|Жазушы, ҚР Ұлттық мемлекеттік Кітап палатасының директоры Әлібек Асқаров Алматы студиясының қонағы болды.
1263201035_happy_50862|Негізі бағым жанып, ол маған түрлі бейнебаяндар түсіріп, видеоларымды монтаждап беруі керек еді.
1263201035_happy_50864|Өкінішке орай, мұны барлық азаматтар біле бермейді.
1263201035_happy_50883|Қорықса да, бүгінге дейін ешбір маман шақыртудан бас тартпаған.
1263201035_happy_50884|Лакнау найыбы сөз салған еді, әкем көпке дейін үзілді–кесілді жауап бермей, солқылдақтық жасап жүрді.
1263201035_happy_50886|Баланы әлдилеп уатқан болып отырып, шымшып жылата береді:Шойынқұлақ:«Күңке, баланы уат!» – деп ақырады.
1263201035_happy_50891|Бұл тарихи кзезеңдерді қысқаша араб – латын – кирилл деп белгілейік.
1263201035_happy_50898|Мұхаметжан келіп қасына отырғанда, Көкбайдың ойына бір сезік кіріп қалды.
1263201035_happy_50899|Және де олардың халық үшін ешбір қабырғасы қайыспайтынын еске алды.
1263201035_happy_50902|Ана деген баласы үшін түн ұйқысын төрт бөліп, сәбиім ауырғанша өзім ауырайын деп жан ұшырып жүреді емес пе?
1263201035_happy_50903|Құрметті кітап сүйер қауым, КітапШам жобасының құрылғанына да, міне, 4 айдан асты.
1263201035_happy_50909|Маған жарты килограмм ірімшік беріңізші.
1263201035_happy_50917|Дәл осындағыдай, міне, бір жарым – екі метр болуы шарт.
1263201035_happy_50928|Жандыбатыр келген беттен дәудің жон таспасын ханның қолына ұстата береді.
1263201035_happy_50929|Жаңа бағдарламаның тетіктерін Әсима Нұрбайқызы түсіндіреді.
1263201035_happy_50931|Науаб қызы әңгімесін жалғай берді:– Біздің сарай Жұмна өзенінің жағасында тұрушы еді.
1263201035_happy_50939|Мақалада: «Болашақта ұлттың табысты болуы оның табиғи байлығымен емес, адамдарының бәсекелік қабілетімен айқындалады.
1263201035_happy_5098|Әрине, Құлтай оның сөзіне артық жауап берген жоқ тек: «Ол жерде де біз сияқты адам тұратын шығар» дей салған болатын.
1263201035_happy_50989|Мысалы, сізді жас ана делік: түрлі жиналыс, мектеп, балабақшаларда ұйымдастырылатын іс–шараларға көп барасыз, кейде балалар ауырып қалуы да мүмкін.
1263201035_happy_50999|Ондай ыстық мейірді де, пейілді де тағдыр менің тайқы маңдайыма жазбаған.
1263201035_happy_51003|Осы ұранды ту еткен қазақстандық ұстаздар Бурабай баурайында бас қосты.
1263201035_happy_51010|Хэллоуин немесе Валентин күнінің қарсаңында кәмпиттерді жеңілдікпен сатады.
1263201035_happy_51023|Ал осындай айып арқаламас үшін бекетті айналып өтуді әдетке айналдырған ішінде жергілікті тасымалдаушылар да көп.
1263201035_happy_51029|Қандай да бір шара болмасын назарымнан тыс қалмаушы еді.
1263201035_happy_51031|Бұл жерде темірсандық бар ма?
1263201035_happy_51035|Үздік уақыт көрсеткен кім?
1263201035_happy_51042|Әзірше нан жоқ, ал атқұлақ пен раугаш, шалқан пісті ғой... Мына бөктерлерде не көп, қозықұйрық көп.
1263201035_happy_51043|15 минут дегенде мана ғана домофон арқылы подъезден кіргізіп алған досымыздың үні естілді.
1263201035_happy_51046|Ленин орденімен және ҚазКСР Жоғарғы Кеңесінін фамотасымен марапатталған.
1263201035_happy_51051|Мысалы, балықтағы амин қышқылдары адам ағзасына сіңімді.
1263201035_happy_51061|Былайымша күйеуім жаман адам емес.
1263201035_happy_51063|Жаңа өмірге бастау, я өз арманыңдағы жолмен, я өзгенің қалауындағы жолмен.
1263201035_happy_51072|Жақыпов өз жауаптарынан бас тартып, жемқорлыққа қарсы күрес қызметкерлерінен қысым көргенін мәлімдеген болатын.
1263201035_happy_51080|Артына жалт қараған Мырзахмет дәл өзі құсап жарбиып тұрған Қылышбайды көріп тілге де келмей, атының басын бұрған күйі тұра қашады.
1263201035_happy_51081|Жылқышы аяғын бірер аттап, «аһ» деп қинала бір дауыстап жіберді де жерге сылқ құлады.
1263201035_happy_51090|Бұлбұл деген қайдан шыққан бәлекет, бүкіл әлем білгенде, сарайдағылар неге білмейді оны?
1263201035_happy_51102|Өмірінің соңында анам жазуға отырып, аталарының қолжазбаларын ақтарды.
1263201035_happy_51127|БҰҰ–ның жүргізген зерттеуі бойынша елімізде жылына 400 әйел тұрмыстық зорлық–зомбылықтан көз жұмады.
1263201035_happy_51130|Дамыған елдердің алғашқы қатарынан нарықтық экономикасы мен кәсіпкерлік қызметі шарықтап дамыған елдер орын алған.
1263201035_happy_51134|Ең жақын қалаға дейін неше шақырым?
1263201035_happy_51141|– Қой жеймін, болмаса қонағыңның атын жеймін, – дейді қасқыр.
1263201035_happy_51145|Ал екі балуан менің сарайыма жатып дем алыңдар, – деп халқын таратып, хан ордасына келіпті.
1263201035_happy_51146|Ол реніштің ашуға, ашудың өкпеге, өкпенің кекке айналуы қорқынышты әрі қауіпті.
1263201035_happy_51149|Дәрігерлерден жағымды жаңалық естіген соң ғана көңілі орнына түсті полицейдің.
1263201035_happy_5115|Оның айтуынша, Америкада одан да көп ақша туралы әңгіме жүріп жатыр.
1263201035_happy_51150|Біздің халқымыз ұнамсыз қойылған есімдерді бұрын да сынап–мінеп отырған.
1263201035_happy_5117|Мен ізденушіні жетекшісімен таныстырдым.
1263201035_happy_51181|Дәріні қалай болса солай пайдалану ішектегі пайдалы бактерияларға зиянды өсер етуі мүмкін.
1263201035_happy_51182|Капитан Немоның бұл шығанаққа неге келгенін де білгім келмеді.
1263201035_happy_51193|Еске сала кетсек, бүгін Ақордада президент қазақстандықтарды мемлекеттік наградалармен марапаттады.
1263201035_happy_51195|Тұман, көктайғақ, бұрқасынның салдарынан тұрғындар қалаға жете алмай, жолда қалғандары да бар.
1263201035_happy_51197|Құмыра мойнының тарлығы сонша, үш–төрт саусақ зорға сияды.
1263201035_happy_51199|Өңқей тағы жылқы ауылды ойран–топыр қылып кете жаздайды.
1263201035_happy_51206|Ал екі балуан менің сарайыма жатып дем алыңдар, – деп халқын таратып, хан ордасына келіпті.
1263201035_happy_51210|Яғни, оқырманның рухани жағынан күші пайда болуына, “Сұркөжек аттың соңғы шабысы” деген әңгіме үлес қосады.
1263201035_happy_51211|Құлыншақ жетектеген сөздерге басқан жоқ.
1263201035_happy_51224|Сөйтсем қызым дәрігер ішті жарады, одан көп қан кетіп, ауырады деп ойлап, қорыққанынан: Мен бала тумаймын!
1263201035_happy_51226|Осы сапар алдында Қытай түрмесінде отырған Ақжарқын Тұрлыбайдың анасы Қазақстан Президентіне өтініш жіберген болатын.
1263201035_happy_51228|Бұл орайда мұғалімнің кәсіби функциясына кірмейтін міндеттерді жүктеуге, шамадан тыс есеп беруге, негізсіз тексерулер жүргізуге тыйым салынатын болады.
1263201035_happy_51252|Ол негізінен жоғары негізді кальций силикатынан тұрады.
1263201035_happy_5126|Запасқа босатылған соң Харьковтағы жазушылар ұйымына басшылық етеді.
1263201035_happy_51267|Ұлан ауданының Бозанбай ауылында тұратын отбасы «Аяулы аналарға құрмет пен қамқорлық» деп аталатын акция аясында баспаналы болды.
1263201035_happy_5128|Сондай–ақ, Қазақстан экономикасын алдағы кезеңге жұмылдыру мәселелері қарастырылды.
